Plot,X,Y,Coord,Gr Ht,Hit,Spp,Stat,Ht
7,E,3,E3,NA,5,MOSSPP,A,NA
7,E,6,E6,NA,4,MOSSPP,A,NA
7,F,2,F2,NA,5,MOSSPP,A,NA
8,C,6,C6,NA,3,MOSSPP,A,NA
8,E,2,E2,NA,4,MOSSPP,A,NA
8,E,4,E4,NA,4,MOSSPP,A,NA
8,F,4,F4,NA,5,MOSSPP,A,NA
9,D,7,D7,NA,4,MOSSPP,A,NA
9,F,2,F2,NA,3,MOSSPP,A,NA
9,F,6,F6,NA,4,MOSSPP,A,NA
10,B,4,B4,NA,4,MOSSPP,A,NA
10,B,6,B6,NA,4,MOSSPP,A,NA
10,C,5,C5,NA,4,MOSSPP,A,NA
10,D,2,D2,NA,4,MOSSPP,A,NA
10,D,4,D4,NA,4,MOSSPP,A,NA
10,D,5,D5,NA,4,MOSSPP,A,NA
10,D,6,D6,NA,3,MOSSPP,A,NA
10,E,6,E6,NA,2,MOSSPP,A,NA
10,F,2,F2,NA,5,MOSSPP,A,NA
