Plot,X,Y,Coord,Gr Ht,Hit,Spp,Stat,Ht
5,B,7,B7,34.5,1,ASHASH,O,34.0
5,C,2,C2,29.0,1,BETNAN,A,18.0
5,C,3,C3,27.0,1,CARSPP,D,18.0
5,C,4,C4,30.0,1,ASHASH,O,27.0
5,C,5,C5,34.0,1,LITTER,D,33.0
5,C,6,C6,34.0,1,MOSSPP,D,33.0
5,C,7,C7,30.0,1,VACVIT,D,26.0
5,C,8,C8,33.0,1,VACVIT,A,28.0
5,D,2,D2,28.5,1,ERIVAG,D,19.0
5,D,3,D3,24.0,1,LEDPAL,D,22.0
5,D,4,D4,26.0,1,LITTER,D,25.0
5,D,5,D5,33.0,1,ERIVAG,D,32.0
5,D,6,D6,33.0,1,BETNAN,D,31.0
5,D,7,D7,29.5,1,ASHASH,O,29.0
5,D,8,D8,33.0,1,BETNAN,D,31.0
5,E,2,E2,27.0,1,RUBCHA,D,22.0
5,E,3,E3,26.5,1,ERIVAG,D,26.0
5,E,4,E4,31.0,1,ERIVAG,D,30.0
5,E,5,E5,28.0,1,BETNAN,D,26.0
5,E,6,E6,25.0,1,ERIVAG,D,24.0
5,E,7,E7,28.0,1,ERIVAG,D,27.0
5,E,8,E8,33.0,1,ERIVAG,D,32.0
5,F,2,F2,35.0,1,MOSSPP,D,34.0
5,F,3,F3,29.5,1,LITTER,D,29.0
5,F,4,F4,35.0,1,ERIVAG,D,24.0
5,F,5,F5,28.0,1,ERIVAG,D,27.0
5,F,6,F6,29.0,1,ERIVAG,D,28.0
5,F,7,F7,40.0,1,MOSSPP,D,38.0
5,G,3,G3,33.0,1,LICHEN,D,32.0
5,G,4,G4,33.0,1,LITTER,D,32.0
5,G,4,G4,42.0,1,MOSSPP,D,40.0
5,G,5,G5,36.0,1,MOSSPP,D,35.0
5,G,7,G7,45.0,1,LITTER,D,44.0
5,B,2,B2,30.0,2,MOSSPP,D,29.5
5,B,3,B3,29.5,2,VACVIT,A,27.0
5,B,4,B4,36.0,2,CARSPP,D,27.0
5,C,2,C2,29.0,2,VACVIT,A,25.0
5,C,3,C3,27.0,2,BETNAN,D,20.0
5,C,7,C7,30.0,2,MOSSPP,D,29.0
5,C,8,C8,33.0,2,MOSSPP,A,32.0
5,D,2,D2,28.5,2,ASHASH,O,28.0
5,D,6,D6,33.0,2,MOSSPP,D,32.0
5,D,8,D8,33.0,2,MOSSPP,D,32.0
5,E,2,E2,27.0,2,MOSSPP,A,26.0
