Time3,Temp3,Time4,Temp4,Time5,Temp5,Time6,Temp6,Time7,Temp7,Time8,Temp8
1320,25.04,1030,167.5,,,,,,,1430,16.44
1325,24.94,1035,163.1,,,,,,,1435,16.36
1330,24.87,1040,158.3,,,,,,,1440,16.34
1335,24.79,1045,154,,,,,,,1445,16.26
,,1050,150.6,,,,,,,1450,16.19
,,1055,147.3,,,,,,,1455,16.05
,,1060,143.7,,,,,,,,
,,1065,140.2,,,,,,,,
,,1070,136.8,,,,,,,,
,,1075,133.3,,,,,,,,
,,1080,130.2,,,,,,,,
,,1085,127.4,,,,,,,,
,,1090,124.7,,,,,,,,
,,1095,122.2,,,,,,,,
,,1100,119.8,,,,,,,,
,,1105,117.6,,,,,,,,
,,1110,115.6,,,,,,,,
,,1115,114,,,,,,,,
,,1120,112.2,,,,,,,,
,,1125,110.3,,,,,,,,
,,1130,108.2,,,,,,,,
,,1135,106,,,,,,,,
,,1140,103.9,,,,,,,,
,,1145,101.8,,,,,,,,
,,1150,99.8,,,,,,,,
,,1155,98.2,,,,,,,,
,,1160,97.1,,,,,,,,
,,1165,96,,,,,,,,
,,1170,94.9,,,,,,,,
,,1175,93.9,,,,,,,,
,,1180,92.9,,,,,,,,
,,1185,91.7,,,,,,,,
,,1190,90.2,,,,,,,,
,,1195,88.6,,,,,,,,
,,1200,87.3,,,,,,,,
,,1205,85.8,,,,,,,,
,,1210,84.2,,,,,,,,
,,1215,82.6,,,,,,,,
,,1220,81.5,,,,,,,,
,,1225,80.3,,,,,,,,
,,1230,78.94,,,,,,,,
,,1235,77.74,,,,,,,,
,,1240,76.86,,,,,,,,
,,1245,75.53,,,,,,,,
,,1250,74.15,,,,,,,,
,,1255,73.69,,,,,,,,
,,1260,72.34,,,,,,,,
,,1265,71.48,,,,,,,,
,,1270,70.12,,,,,,,,
,,1275,69.02,,,,,,,,
,,1280,68.16,,,,,,,,
,,1285,67.37,,,,,,,,
,,1290,66.72,,,,,,,,
,,1295,66.13,,,,,,,,
,,1300,65.54,,,,,,,,
,,1305,64.92,,,,,,,,
,,1310,64.33,,,,,,,,
,,1315,63.75,,,,,,,,
,,1320,63.27,,,,,,,,
,,1325,62.81,,,,,,,,
,,1330,62.35,,,,,,,,
,,1335,61.93,,,,,,,,
,,1340,61.47,,,,,,,,
,,1345,61.12,,,,,,,,
,,1350,60.78,,,,,,,,
,,1355,60.48,,,,,,,,
,,1360,60.22,,,,,,,,
,,1365,59.87,,,,,,,,
,,1370,59.46,,,,,,,,
,,1375,59.17,,,,,,,,
,,1380,58.8,,,,,,,,
,,1385,58.45,,,,,,,,
,,1390,58.16,,,,,,,,
,,1395,57.84,,,,,,,,
,,1400,57.59,,,,,,,,
,,1405,57.29,,,,,,,,
,,1410,56.89,,,,,,,,
,,1415,56.45,,,,,,,,
,,1420,56.12,,,,,,,,
,,1425,55.92,,,,,,,,
,,1430,55.62,,,,,,,,
,,1435,55.36,,,,,,,,
,,1440,55.07,,,,,,,,
,,1445,54.84,,,,,,,,
,,1450,54.57,,,,,,,,
,,1455,54.45,,,,,,,,
,,1460,54.2,,,,,,,,
,,1465,53.95,,,,,,,,
,,1470,53.82,,,,,,,,
,,1475,53.74,,,,,,,,
,,1480,53.64,,,,,,,,
,,1485,53.47,,,,,,,,
,,1490,53.37,,,,,,,,
,,1495,53.16,,,,,,,,
,,1500,53.03,,,,,,,,
,,1505,52.88,,,,,,,,
,,1510,52.85,,,,,,,,
,,1515,52.67,,,,,,,,
,,1520,52.44,,,,,,,,
,,1525,52.24,,,,,,,,
,,1530,52.06,,,,,,,,
,,1535,51.93,,,,,,,,
,,1540,51.78,,,,,,,,
,,1545,51.67,,,,,,,,
,,1550,51.47,,,,,,,,
,,1555,51.28,,,,,,,,
,,1560,51.12,,,,,,,,
,,1565,51.02,,,,,,,,
,,1570,50.9,,,,,,,,
,,1575,50.81,,,,,,,,
,,1580,50.69,,,,,,,,
,,1585,50.59,,,,,,,,
,,1590,50.37,,,,,,,,
,,1595,50.27,,,,,,,,
,,1600,50.15,,,,,,,,
,,1605,49.88,,,,,,,,
,,1610,49.81,,,,,,,,
,,1615,49.67,,,,,,,,
,,1620,49.6,,,,,,,,
,,1625,49.52,,,,,,,,
,,1630,49.45,,,,,,,,
,,1635,49.32,,,,,,,,
,,1640,49.25,,,,,,,,
,,1645,49.17,,,,,,,,
,,1650,49.07,,,,,,,,
,,1655,48.96,,,,,,,,
,,1660,48.8,,,,,,,,
,,1665,48.65,,,,,,,,
,,1670,48.61,,,,,,,,
,,1675,48.55,,,,,,,,
,,1680,48.43,,,,,,,,
,,1685,48.25,,,,,,,,
,,1690,48.18,,,,,,,,
,,1695,48.15,,,,,,,,
,,1700,48.02,,,,,,,,
,,1705,47.93,,,,,,,,
,,1710,47.87,,,,,,,,
,,1715,47.73,,,,,,,,
,,1720,47.6,,,,,,,,
,,1725,47.5,,,,,,,,
,,1730,47.39,,,,,,,,
,,1735,47.29,,,,,,,,
,,1740,47.22,,,,,,,,
,,1745,47.1,,,,,,,,
,,1750,47.03,,,,,,,,
,,1755,46.95,,,,,,,,
,,1760,46.85,,,,,,,,
,,1765,46.71,,,,,,,,
,,1770,46.6,,,,,,,,
,,1775,46.46,,,,,,,,
,,1780,46.31,,,,,,,,
,,1785,46.21,,,,,,,,
,,1790,46.16,,,,,,,,
,,1795,46.11,,,,,,,,
,,1800,46.07,,,,,,,,
,,1805,45.97,,,,,,,,
,,1810,45.95,,,,,,,,
,,1815,45.9,,,,,,,,
,,1820,45.91,,,,,,,,
,,1825,45.82,,,,,,,,
,,1830,45.69,,,,,,,,
,,1835,45.62,,,,,,,,
,,1840,45.57,,,,,,,,
,,1845,45.53,,,,,,,,
,,1850,45.2,,,,,,,,
,,1855,45.29,,,,,,,,
,,1860,45.18,,,,,,,,
,,1865,45.11,,,,,,,,
,,1870,45.04,,,,,,,,
,,1875,44.92,,,,,,,,
,,1880,44.87,,,,,,,,
,,1885,44.86,,,,,,,,
,,1890,44.75,,,,,,,,
,,1895,44.59,,,,,,,,
,,1900,44.4,,,,,,,,
,,1905,44.25,,,,,,,,
,,1910,44.1,,,,,,,,
,,1915,44.08,,,,,,,,
,,1920,43.96,,,,,,,,
,,1925,43.74,,,,,,,,
,,1930,43.59,,,,,,,,
,,1935,43.56,,,,,,,,
,,1940,43.47,,,,,,,,
,,1945,43.37,,,,,,,,
,,1950,43.27,,,,,,,,
,,1955,43.22,,,,,,,,
,,1960,43.17,,,,,,,,
,,1965,42.98,,,,,,,,
,,1970,42.8,,,,,,,,
,,1975,42.69,,,,,,,,
,,1980,42.58,,,,,,,,
,,1985,42.47,,,,,,,,
,,1990,42.3,,,,,,,,
,,1995,42.22,,,,,,,,
,,2000,42.17,,,,,,,,
,,2005,41.94,,,,,,,,
,,2010,41.89,,,,,,,,
,,2015,41.8,,,,,,,,
,,2020,41.72,,,,,,,,
,,2025,41.6,,,,,,,,
,,2030,41.55,,,,,,,,
,,2035,41.48,,,,,,,,
,,2040,41.38,,,,,,,,
,,2045,41.34,,,,,,,,
,,2050,41.21,,,,,,,,
,,2055,41.14,,,,,,,,
,,2060,40.99,,,,,,,,
,,2065,40.88,,,,,,,,
,,2070,40.71,,,,,,,,
,,2075,40.6,,,,,,,,
,,2080,40.55,,,,,,,,
,,2085,40.45,,,,,,,,
,,2090,40.29,,,,,,,,
,,2095,40.21,,,,,,,,
,,2100,40.16,,,,,,,,
,,2105,40.09,,,,,,,,
,,2110,39.99,,,,,,,,
,,2115,39.86,,,,,,,,
,,2120,39.65,,,,,,,,
,,2125,39.55,,,,,,,,
,,2130,39.46,,,,,,,,
,,2135,39.22,,,,,,,,
,,2140,39.18,,,,,,,,
,,2145,39.13,,,,,,,,
,,2150,39.05,,,,,,,,
,,2155,38.98,,,,,,,,
,,2160,38.9,,,,,,,,
,,2165,38.8,,,,,,,,
,,2170,38.67,,,,,,,,
,,2175,38.54,,,,,,,,
,,2180,38.4,,,,,,,,
,,2185,38.3,,,,,,,,
,,2190,38.22,,,,,,,,
,,2195,38.19,,,,,,,,
,,2200,38.07,,,,,,,,
,,2205,37.97,,,,,,,,
,,2210,37.89,,,,,,,,
,,2215,37.88,,,,,,,,
,,2220,37.83,,,,,,,,
,,2225,37.75,,,,,,,,
,,2230,37.65,,,,,,,,
,,2235,37.39,,,,,,,,
,,2240,37.22,,,,,,,,
,,2245,37.04,,,,,,,,
,,2250,36.88,,,,,,,,
,,2255,36.7,,,,,,,,
,,2260,36.56,,,,,,,,
,,2265,36.43,,,,,,,,
,,2270,36.31,,,,,,,,
